POS,,,
step,mm,VL,VD
230000,58.42,0.4,0
232000,58.928,0,0.2
234000,59.436,0.6,0.2
236000,59.944,0.2,0.2
238000,60.452,0,0.2
240000,60.96,0,0.2
242000,61.468,0,0.2
244000,61.976,0.4,0.4
246000,62.484,0,0.2
248000,62.992,0.6,0.2
250000,63.5,1.8,1.2
252000,64.008,3.8,4
254000,64.516,10.4,6.8
256000,65.024,30.4,25.4
258000,65.532,53,52.2
260000,66.04,98,111.6
262000,66.548,147,153.6
264000,67.056,188,200.6
266000,67.564,199.6,199
268000,68.072,191.2,193.2
270000,68.58,151.2,151
272000,69.088,118.2,105.2
274000,69.596,78,71
276000,70.104,42.6,34.4
278000,70.612,13.4,15.8
280000,71.12,5,4.2
282000,71.628,1,2.4
284000,72.136,0.2,0.4
286000,72.644,0,0
288000,73.152,0,0
290000,73.66,0,0
292000,74.168,0,0
294000,74.676,0.2,0
296000,75.184,0,0
298000,75.692,0.2,0.2
300000,76.2,0.2,0
302000,76.708,0,0
304000,77.216,0.2,0.4
306000,77.724,0.4,0
308000,78.232,0.4,0
310000,78.74,0,0
312000,79.248,0,0
314000,79.756,0.4,0
316000,80.264,0.2,0.2
318000,80.772,0,0
320000,81.28,0,0
322000,81.788,0,0
324000,82.296,0,0
326000,82.804,0,0
328000,83.312,0,0
330000,83.82,0,0
332000,84.328,0,0
334000,84.836,0,0
336000,85.344,0,0
338000,85.852,0,0
340000,86.36,0,0
342000,86.868,0,0
344000,87.376,0,0
346000,87.884,0,0
348000,88.392,0,0
350000,88.9,0,0
352000,89.408,0,0
354000,89.916,0.2,0.2
356000,90.424,0,0.2
358000,90.932,0,0
360000,91.44,0,0
362000,91.948,0,0
364000,92.456,0.2,0
366000,92.964,0.4,0
368000,93.472,0,0
370000,93.98,0.2,0.2
372000,94.488,0.2,0.4
374000,94.996,0.6,0.6
376000,95.504,0.4,1
378000,96.012,2,2.2
380000,96.52,5.8,4.6
382000,97.028,16,16.4
384000,97.536,27.2,31.4
386000,98.044,54.4,52.6
388000,98.552,88.8,87.8
390000,99.06,99.8,103.6
392000,99.568,96.8,92.6
394000,100.076,83.4,81.8
396000,100.584,63.2,63.2
